Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-2_1-12_Rate_Per_1000,HBIPS-2_1-12_Num,HBIPS-2_1-12_Den,HBIPS-2_1-12_Footnote,HBIPS-2_13-17_Rate_Per_1000,HBIPS-2_13-17_Num,HBIPS-2_13-17_Den,HBIPS-2_13-17_Footnote,HBIPS-2_18-64_Rate_Per_1000,HBIPS-2_18-64_Num,HBIPS-2_18-64_Den,HBIPS-2_18-64_Footnote,HBIPS-2_65_Over_Rate_Per_1000,HBIPS-2_65_Over_Num,HBIPS-2_65_Over_Den,HBIPS-2_65_Over_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-3_1-12_Rate_Per_1000,HBIPS-3_1-12_Num,HBIPS-3_1-12_Den,HBIPS-3_1-12_Footnote,HBIPS-3_13-17_Rate_Per_1000,HBIPS-3_13-17_Num,HBIPS-3_13-17_Den,HBIPS-3_13-17_Footnote,HBIPS-3_18-64_Rate_Per_1000,HBIPS-3_18-64_Num,HBIPS-3_18-64_Den,HBIPS-3_18-64_Footnote,HBIPS-3_65_Over_Rate_Per_1000,HBIPS-3_65_Over_Num,HBIPS-3_65_Over_Den,HBIPS-3_65_Over_Footnote,HBIPS-4_Measure_Description,HBIPS-4_Overall_%_of_Total,HBIPS-4_Overall_Num,HBIPS-4_Overall_Den,HBIPS-4_Overall_Footnote,HBIPS-4_1-12_%_of_Total,HBIPS-4_1-12_Num,HBIPS-4_1-12_Den,HBIPS-4_1-12_Footnote,HBIPS-4_13-17_%_of_Total,HBIPS-4_13-17_Num,HBIPS-4_13-17_Den,HBIPS-4_13-17_Footnote,HBIPS-4_18-64_%_of_Total,HBIPS-4_18-64_Num,HBIPS-4_18-64_Den,HBIPS-4_18-64_Footnote,HBIPS-4_65_Over_%_of_Total,HBIPS-4_65_Over_Num,HBIPS-4_65_Over_Den,HBIPS-4_65_Over_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-5_1-12_%_of_Total,HBIPS-5_1-12_Num,HBIPS-5_1-12_Den,HBIPS-5_1-12_Footnote,HBIPS-5_13-17_%_of_Total,HBIPS-5_13-17_Num,HBIPS-5_13-17_Den,HBIPS-5_13-17_Footnote,HBIPS-5_18-64_%_of_Total,HBIPS-5_18-64_Num,HBIPS-5_18-64_Den,HBIPS-5_18-64_Footnote,HBIPS-5_65_Over_%_of_Total,HBIPS-5_65_Over_Num,HBIPS-5_65_Over_Den,HBIPS-5_65_Over_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-6_1-12_%_of_Total,HBIPS-6_1-12_Num,HBIPS-6_1-12_Den,HBIPS-6_1-12_Footnote,HBIPS-6_13-17_%_of_Total,HBIPS-6_13-17_Num,HBIPS-6_13-17_Den,HBIPS-6_13-17_Footnote,HBIPS-6_18-64_%_of_Total,HBIPS-6_18-64_Num,HBIPS-6_18-64_Den,HBIPS-6_18-64_Footnote,HBIPS-6_65_Over_%_of_Total,HBIPS-6_65_Over_Num,HBIPS-6_65_Over_Den,HBIPS-6_65_Over_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,HBIPS-7_1-12_%_of_Total,HBIPS-7_1-12_Num,HBIPS-7_1-12_Den,HBIPS-7_1-12_Footnote,HBIPS-7_13-17_%_of_Total,HBIPS-7_13-17_Num,HBIPS-7_13-17_Den,HBIPS-7_13-17_Footnote,HBIPS-7_18-64_%_of_Total,HBIPS-7_18-64_Num,HBIPS-7_18-64_Den,HBIPS-7_18-64_Footnote,HBIPS-7_65_Over_%_of_Total,HBIPS-7_65_Over_Num,HBIPS-7_65_Over_Den,HBIPS-7_65_Over_Footnote,SUB-1_Measure_Description,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote,PEoC_Measure_Description,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Measure_Description,EHR_Use_Response,EHR_Use_Footnote,HIE_Measure_Description,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH_Measure_Description,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date
"140176","CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL","3701 DOTY ROAD","WOODSTOCK","IL","60098","MCHENRY","Hours of physical-restraint use","0.09","14","6709","","Not Available","0","0","7","Not Available","0","0","7","0.09","14","6436","","0.00","0","273","","Hours of seclusion","0.09","14","6709","","Not Available","0","0","7","Not Available","0","0","7","0.09","14","6436","","0.00","0","273","","Patients discharged on multiple antipsychotic medications","2.75%","11","400","","Not Available","0","0","7","Not Available","0","0","7","2.89%","11","380","","0.00%","0","20","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","11","11","","Not Available","0","0","7","Not Available","0","0","7","100.00%","11","11","","Not Available","0","0","7","Post-discharge continuing care plan created","100.00%","241","241","","Not Available","0","0","7","Not Available","0","0","7","100.00%","215","215","","100.00%","26","26","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.59%","240","241","","Not Available","0","0","7","Not Available","0","0","7","99.53%","214","215","","100.00%","26","26","","Alcohol Use Screening","72.08%","413","573","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140179","LITTLE COMPANY OF MARY HOSPITAL","2800 W 95TH ST","EVERGREEN PARK","IL","60805","COOK","Hours of physical-restraint use","4.12","305.83","3094","","Not Available","0","0","7","Not Available","0","0","7","5.18","297.83","2396","","0.48","8","698","","Hours of seclusion","0.00","0","3094","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","2396","","0.00","0","698","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","0.00%","0","58","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Post-discharge continuing care plan created","100.00%","339","339","","Not Available","0","0","7","Not Available","0","0","7","100.00%","226","226","","100.00%","113","113","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","339","339","","Not Available","0","0","7","Not Available","0","0","7","100.00%","226","226","","100.00%","113","113","","Alcohol Use Screening","99.77%","426","427","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140181","SOUTH SHORE HOSPITAL","8012 SOUTH CRANDON AVENUE","CHICAGO","IL","60617","COOK","Hours of physical-restraint use","0.12","13.97","4808","","Not Available","0","0","7","Not Available","0","0","7","0.20","13.97","2893","","0.00","0","1915","","Hours of seclusion","0.00","0","4808","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","2893","","0.00","0","1915","","Patients discharged on multiple antipsychotic medications","38.06%","137","360","","Not Available","0","0","7","Not Available","0","0","7","41.95%","99","236","","30.65%","38","124","","Patients discharged on multiple antipsychotic medications with appropriate justification","35.56%","48","135","","Not Available","0","0","7","Not Available","0","0","7","35.05%","34","97","","36.84%","14","38","","Post-discharge continuing care plan created","46.83%","214","457","","Not Available","0","0","7","Not Available","0","0","7","43.25%","125","289","","52.98%","89","168","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","46.83%","214","457","","Not Available","0","0","7","Not Available","0","0","7","43.25%","125","289","","52.98%","89","168","","Alcohol Use Screening","83.37%","401","481","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140182","ADVOCATE ILLINOIS MASONIC MEDICAL CENTER","836 WEST WELLINGTON AVENUE","CHICAGO","IL","60657","COOK","Hours of physical-restraint use","0.04","9.25","9934","","Not Available","0","0","7","Not Available","0","0","7","0.04","9.25","9438","","0.00","0","496","","Hours of seclusion","0.00","0","9934","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","9438","","0.00","0","496","","Patients discharged on multiple antipsychotic medications","9.17%","22","240","","Not Available","0","0","7","Not Available","0","0","7","9.41%","19","202","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","66.67%","14","21","","Not Available","0","0","7","Not Available","0","0","7","66.67%","12","18","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","98.28%","286","291","","Not Available","0","0","7","Not Available","0","0","7","97.97%","241","246","","100.00%","45","45","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","92.10%","268","291","","Not Available","0","0","7","Not Available","0","0","7","91.87%","226","246","","93.33%","42","45","","Alcohol Use Screening","94.57%","540","571","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140189","SARAH BUSH LINCOLN HEALTH CENTER","1000 HEALTH CENTER DRIVE P O BOX 372","MATTOON","IL","61938","COLES","Hours of physical-restraint use","0.08","6.51","3385","","Not Available","0","0","7","Not Available","0","0","7","0.09","6.51","3166","","0.00","0","219","","Hours of seclusion","0.00","0","3385","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","3166","","0.00","0","219","","Patients discharged on multiple antipsychotic medications","8.62%","33","383","","Not Available","0","0","7","Not Available","0","0","7","8.92%","33","370","","0.00%","0","13","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","19","19","","Not Available","0","0","7","Not Available","0","0","7","100.00%","19","19","","Not Available","0","0","7","Post-discharge continuing care plan created","97.74%","779","797","","Not Available","0","0","7","Not Available","0","0","7","97.65%","747","765","","100.00%","32","32","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","95.11%","758","797","","Not Available","0","0","7","Not Available","0","0","7","95.03%","727","765","","96.88%","31","32","","Alcohol Use Screening","82.57%","199","241","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140191","INGALLS MEMORIAL HOSPITAL","ONE INGALLS DRIVE","HARVEY","IL","60426","COOK","Hours of physical-restraint use","0.00","0","2248","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","782","","0.00","0","1466","","Hours of seclusion","0.00","0","2248","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","782","","0.00","0","1466","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.40%","165","166","","Not Available","0","0","7","Not Available","0","0","7","98.59%","70","71","","100.00%","95","95","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.40%","165","166","","Not Available","0","0","7","Not Available","0","0","7","98.59%","70","71","","100.00%","95","95","","Alcohol Use Screening","97.79%","177","181","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140206","NORWEGIAN-AMERICAN HOSPITAL","1044 N FRANCISCO AVE","CHICAGO","IL","60622","COOK","Hours of physical-restraint use","0.00","0","85","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","62","","0.00","0","23","","Hours of seclusion","0.00","0","85","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","62","","0.00","0","23","","Patients discharged on multiple antipsychotic medications","21.77%","64","294","","Not Available","0","0","7","Not Available","0","0","7","24.44%","44","180","","17.54%","20","114","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Alcohol Use Screening","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140208","ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER","4440 W 95TH STREET","OAK LAWN","IL","60453","COOK","Hours of physical-restraint use","2.40","549.32","9533","","Not Available","0","0","7","Not Available","0","0","7","1.31","227.95","7268","","5.91","321.37","2265","","Hours of seclusion","0.00","0","9533","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","7268","","0.00","0","2265","","Patients discharged on multiple antipsychotic medications","5.19%","15","289","","Not Available","0","0","7","Not Available","0","0","7","7.64%","12","157","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","90.26%","343","380","","Not Available","0","0","7","Not Available","0","0","7","95.22%","199","209","","84.21%","144","171","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","83.42%","317","380","","Not Available","0","0","7","Not Available","0","0","7","90.43%","189","209","","74.85%","128","171","","Alcohol Use Screening","94.26%","509","540","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140209","METHODIST MEDICAL CENTER OF ILLINOIS","221 N E GLEN OAK AVE","PEORIA","IL","61636","PEORIA","Hours of physical-restraint use","0.32","157.9","20829","","0.75","38.5","2145","","0.22","24.9","4719","","0.29","92.6","13212","","0.11","1.9","753","","Hours of seclusion","0.45","224.4","20829","","1.52","78.5","2145","","0.12","14.1","4719","","0.40","128.2","13212","","0.20","3.6","753","","Patients discharged on multiple antipsychotic medications","7.48%","35","468","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","9.96%","23","231","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","98.74%","781","791","","99.42%","171","172","","99.44%","179","180","","98.16%","373","380","","98.31%","58","59","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","54.24%","429","791","","70.35%","121","172","","73.33%","132","180","","40.53%","154","380","","37.29%","22","59","","Alcohol Use Screening","83.55%","254","304","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140210","HARRISBURG MEDICAL CENTER","100 DOCTOR WARREN TUTTLE DR","HARRISBURG","IL","62946","SALINE","Hours of physical-restraint use","0.13","29.05","9234","","Not Available","0","0","7","0.00","0","30","","0.07","13.88","7926","","0.49","15.17","1278","","Hours of seclusion","0.59","130.25","9234","","Not Available","0","0","7","0.00","0","30","","0.66","125.75","7926","","0.15","4.5","1278","","Patients discharged on multiple antipsychotic medications","4.60%","11","239","","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","98.17%","375","382","","Not Available","0","0","7","Not Available","Not Available","Not Available","1","98.00%","245","250","","99.19%","123","124","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","97.64%","373","382","","Not Available","0","0","7","Not Available","Not Available","Not Available","1","97.20%","243","250","","99.19%","123","124","","Alcohol Use Screening","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140213","SILVER CROSS HOSPITAL  AND MEDICAL CENTERS","1900 SILVER CROSS BLVD","NEW LENOX","IL","60451","WILL","Hours of physical-restraint use","0.01","1","4471","","Not Available","0","0","7","Not Available","0","0","7","0.01","1","4111","","0.00","0","360","","Hours of seclusion","0.01","1","4471","","Not Available","0","0","7","Not Available","0","0","7","0.01","1","4111","","0.00","0","360","","Patients discharged on multiple antipsychotic medications","14.32%","60","419","","Not Available","0","0","7","Not Available","0","0","7","15.01%","59","393","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","33.33%","19","57","","Not Available","0","0","7","Not Available","0","0","7","32.14%","18","56","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","0.00%","0","47","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","0.00%","0","47","","Alcohol Use Screening","27.56%","140","508","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140223","ADVOCATE LUTHERAN GENERAL HOSPITAL","1775 DEMPSTER ST","PARK RIDGE","IL","60068","COOK","Hours of physical-restraint use","0.86","222.32","10725","","0.00","0","260","","0.34","15.55","1899","","0.15","20.33","5834","","2.84","186.44","2732","","Hours of seclusion","0.00","0","10725","","0.00","0","260","","0.00","0","1899","","0.00","0","5834","","0.00","0","2732","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","0.00%","0","12","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00%","623","623","","100.00%","35","35","","100.00%","207","207","","100.00%","199","199","","100.00%","182","182","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","98.72%","615","623","","100.00%","35","35","","100.00%","207","207","","95.98%","191","199","","100.00%","182","182","","Alcohol Use Screening","92.84%","402","433","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140228","SWEDISH AMERICAN HOSPITAL","1401 EAST STATE STREET","ROCKFORD","IL","61104","WINNEBAGO","Hours of physical-restraint use","0.06","10.53","7554","","0.00","0","149","","0.05","2.38","2056","","0.07","8.15","4965","","0.00","0","384","","Hours of seclusion","0.01","2.25","7554","","0.00","0","149","","0.01",".33","2056","","0.02","1.92","4965","","0.00","0","384","","Patients discharged on multiple antipsychotic medications","4.87%","13","267","","0.00%","0","15","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","75.27%","344","457","","86.36%","19","22","","83.67%","164","196","","69.04%","136","197","","59.52%","25","42","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","66.74%","305","457","","72.73%","16","22","","75.51%","148","196","","59.90%","118","197","","54.76%","23","42","","Alcohol Use Screening","84.70%","227","268","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140239","ROCKFORD MEMORIAL HOSPITAL","2400 NORTH ROCKTON AVENUE","ROCKFORD","IL","61103","WINNEBAGO","Hours of physical-restraint use","0.17","16.9","4128","","Not Available","0","0","7","Not Available","0","0","7","0.15","13.98","3880","","0.49","2.92","248","","Hours of seclusion","0.16","15.81","4128","","Not Available","0","0","7","Not Available","0","0","7","0.08","7.81","3880","","1.34","8","248","","Patients discharged on multiple antipsychotic medications","7.25%","19","262","","Not Available","0","0","7","Not Available","0","0","7","7.17%","18","251","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","47.81%","251","525","","Not Available","0","0","7","Not Available","0","0","7","48.01%","241","502","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","41.52%","218","525","","Not Available","0","0","7","Not Available","0","0","7","42.23%","212","502","","Not Available","Not Available","Not Available","1","Alcohol Use Screening","74.66%","383","513","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140240","WESTLAKE COMMUNITY HOSPITAL","1225 LAKE ST","MELROSE PARK","IL","60160","COOK","Hours of physical-restraint use","0.16","59.06","15213","","Not Available","0","0","7","Not Available","0","0","7","0.17","59.06","14481","","0.00","0","732","","Hours of seclusion","0.00","0","15213","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","14481","","0.00","0","732","","Patients discharged on multiple antipsychotic medications","14.66%","34","232","","Not Available","0","0","7","Not Available","0","0","7","13.40%","26","194","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00%","0","31","","Not Available","0","0","7","Not Available","0","0","7","0.00%","0","24","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","72.65%","162","223","","Not Available","0","0","7","Not Available","0","0","7","75.27%","140","186","","59.46%","22","37","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","47.98%","107","223","","Not Available","0","0","7","Not Available","0","0","7","48.39%","90","186","","45.95%","17","37","","Alcohol Use Screening","83.08%","442","532","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"140242","CENTRAL DUPAGE HOSPITAL","25 NORTH WINFIELD ROAD","WINFIELD","IL","60190","DU PAGE","Hours of physical-restraint use","0.29","42.33","6059","","Not Available","0","0","7","0.20","3.73","771","","0.34","38.6","4718","","0.00","0","570","","Hours of seclusion","0.00","0","6059","","Not Available","0","0","7","0.00","0","771","","0.00","0","4718","","0.00","0","570","","Patients discharged on multiple antipsychotic medications","6.25%","12","192","","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","98.45%","318","323","","Not Available","0","0","7","98.73%","78","79","","98.92%","184","186","","96.55%","56","58","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","97.83%","316","323","","Not Available","0","0","7","98.73%","78","79","","98.92%","184","186","","93.10%","54","58","","Alcohol Use Screening","94.53%","449","475","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
