"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"SD","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","95","","07/01/2014","06/30/2015"
"TN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","07/01/2014","06/30/2015"
"TX","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","66","","07/01/2014","06/30/2015"
"UT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","34","","07/01/2014","06/30/2015"
"VA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","55","","07/01/2014","06/30/2015"
"VI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"VT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","51","","07/01/2014","06/30/2015"
"WA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","55","","07/01/2014","06/30/2015"
"WI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","52","","07/01/2014","06/30/2015"
"WV","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","74","","07/01/2014","06/30/2015"
"WY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","142","","07/01/2014","06/30/2015"
"AK","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"AL","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"AR","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"AS","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"AZ","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"CA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","07/01/2014","06/30/2015"
"CO","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"CT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"DC","Heart Attack or Chest Pain","Median Time to ECG","OP_5","16","","07/01/2014","06/30/2015"
"DE","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"FL","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"GA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"GU","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"HI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","07/01/2014","06/30/2015"
"IA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","07/01/2014","06/30/2015"
"ID","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","07/01/2014","06/30/2015"
"IL","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"IN","Heart Attack or Chest Pain","Median Time to ECG","OP_5","5","","07/01/2014","06/30/2015"
"KS","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"KY","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","07/01/2014","06/30/2015"
"LA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","07/01/2014","06/30/2015"
"MA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"MD","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","07/01/2014","06/30/2015"
"ME","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","07/01/2014","06/30/2015"
"MI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"MN","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"MO","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"MP","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"MS","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","07/01/2014","06/30/2015"
"MT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","07/01/2014","06/30/2015"
"NC","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"ND","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"NE","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"NH","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"NJ","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"NM","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","07/01/2014","06/30/2015"
"NV","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"NY","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","07/01/2014","06/30/2015"
"OH","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"OK","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"OR","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","07/01/2014","06/30/2015"
"PA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"PR","Heart Attack or Chest Pain","Median Time to ECG","OP_5","20","","07/01/2014","06/30/2015"
"RI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","07/01/2014","06/30/2015"
"SC","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","07/01/2014","06/30/2015"
"SD","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","07/01/2014","06/30/2015"
"TN","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","07/01/2014","06/30/2015"
"TX","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"UT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"VA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","07/01/2014","06/30/2015"
"VI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"VT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","07/01/2014","06/30/2015"
"WA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"WI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","07/01/2014","06/30/2015"
"WV","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","07/01/2014","06/30/2015"
"WY","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","07/01/2014","06/30/2015"
"AK","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","53","","07/01/2014","06/30/2015"
"AL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","78","","07/01/2014","06/30/2015"
"AR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","49","","07/01/2014","06/30/2015"
"AS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"AZ","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","48","","07/01/2014","06/30/2015"
"CA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","66","","07/01/2014","06/30/2015"
"CO","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","59","","07/01/2014","06/30/2015"
"CT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","67","","07/01/2014","06/30/2015"
"DC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","0","","07/01/2014","06/30/2015"
"DE","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"FL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","46","","07/01/2014","06/30/2015"
"GA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","58","","07/01/2014","06/30/2015"
"GU","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"HI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","69","","07/01/2014","06/30/2015"
"IA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","40","","07/01/2014","06/30/2015"
"ID","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","50","","07/01/2014","06/30/2015"
"IL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","61","","07/01/2014","06/30/2015"
"IN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","50","","07/01/2014","06/30/2015"
"KS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","35","","07/01/2014","06/30/2015"
"KY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","78","","07/01/2014","06/30/2015"
"LA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","50","","07/01/2014","06/30/2015"
"MA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","66","","07/01/2014","06/30/2015"
"MD","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","65","","07/01/2014","06/30/2015"
"ME","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","86","","07/01/2014","06/30/2015"
"MI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","59","","07/01/2014","06/30/2015"
"MN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","37","","07/01/2014","06/30/2015"
"MO","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","44","","07/01/2014","06/30/2015"
"MP","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"MS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","52","","07/01/2014","06/30/2015"
"MT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","43","","07/01/2014","06/30/2015"
"NC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","61","","07/01/2014","06/30/2015"
"ND","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","38","","07/01/2014","06/30/2015"
"NE","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","48","","07/01/2014","06/30/2015"
"NH","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","75","","07/01/2014","06/30/2015"
"NJ","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","76","","07/01/2014","06/30/2015"
"NM","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","57","","07/01/2014","06/30/2015"
"NV","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","48","","07/01/2014","06/30/2015"
"NY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","59","","07/01/2014","06/30/2015"
"OH","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","49","","07/01/2014","06/30/2015"
"OK","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","52","","07/01/2014","06/30/2015"
"OR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","53","","07/01/2014","06/30/2015"
"PA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","32","","07/01/2014","06/30/2015"
"PR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","100","","07/01/2014","06/30/2015"
"RI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"SC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","45","","07/01/2014","06/30/2015"
"SD","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","56","","07/01/2014","06/30/2015"
"TN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","67","","07/01/2014","06/30/2015"
"TX","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","51","","07/01/2014","06/30/2015"
"UT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","72","","07/01/2014","06/30/2015"
"VA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","68","","07/01/2014","06/30/2015"
"VI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"VT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","63","","07/01/2014","06/30/2015"
"WA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","54","","07/01/2014","06/30/2015"
"WI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","69","","07/01/2014","06/30/2015"
"WV","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","68","","07/01/2014","06/30/2015"
"WY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","51","","07/01/2014","06/30/2015"
"AK","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","100","","07/01/2014","06/30/2015"
"AL","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"AR","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","94","","07/01/2014","06/30/2015"
"AS","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"AZ","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"CA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"CO","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","07/01/2014","06/30/2015"
"CT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","07/01/2014","06/30/2015"
"DC","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","88","","07/01/2014","06/30/2015"
"DE","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"FL","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","07/01/2014","06/30/2015"
"GA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"GU","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"HI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","07/01/2014","06/30/2015"
"IA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"ID","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"IL","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","07/01/2014","06/30/2015"
"IN","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"KS","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","07/01/2014","06/30/2015"
"KY","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"LA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","93","","07/01/2014","06/30/2015"
"MA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"MD","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"ME","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","07/01/2014","06/30/2015"
"MI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","07/01/2014","06/30/2015"
"MN","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"MO","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","07/01/2014","06/30/2015"
"MP","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"MS","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","07/01/2014","06/30/2015"
"MT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","07/01/2014","06/30/2015"
"NC","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","07/01/2014","06/30/2015"
"ND","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"NE","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"NH","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"NJ","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","07/01/2014","06/30/2015"
"NM","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"NV","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"NY","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"OH","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"OK","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","07/01/2014","06/30/2015"
"OR","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"PA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"PR","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","100","","07/01/2014","06/30/2015"
"RI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"SC","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"SD","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","07/01/2014","06/30/2015"
"TN","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"TX","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","07/01/2014","06/30/2015"
"UT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","07/01/2014","06/30/2015"
"VA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","07/01/2014","06/30/2015"
"VI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"VT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","07/01/2014","06/30/2015"
"WA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","07/01/2014","06/30/2015"
"WI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","07/01/2014","06/30/2015"
