ASC_Name,Provider_ID,NPI,City,State,ZIP_Code,Year,ASC1_Measure_Rate,ASC1_Footnote,ASC2_Measure_Rate,ASC2_Footnote,ASC3_Measure_Rate,ASC3_Footnote,ASC4_Measure_Rate,ASC4_Footnote,ASC5_Measure_Rate,ASC5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC6_SSChecklist,ASC6_Footnote,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Musculoskeletal,ASC_7_Skin,ASC_7_Genitourinary,ASC_7_Multi_System,ASC_7_Nervous_System,ASC_7_Respiratory,ASC7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC9_Footnote,ASC_10_rate,ASC10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date
The Surgery Center of Huntsville,01C0001013,1841342789,Huntsville,AL,35801,2014,0.128,,0.256,,0.000,,0.769,,967.63,,01/01/2014,12/31/2014,Yes,,24332,3128,4584,6675,701,9,0,9038,197,,01/01/2014,12/31/2014,69.59,,2014/2015,52.08,,69.79,,01/01/2014,12/31/2014
Visionary Usa.Com Surgery Institute,01C0001045,1881618403,Fairhope,AL,36532,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1248,0,1248,0,0,0,0,0,0,,01/01/2014,12/31/2014,55.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Outpatient Services East,01C0001014,1932298718,Birmingham,AL,35235,2014,0.000,,0.000,,0.000,,1.957,,987.21,,01/01/2014,12/31/2014,Yes,,17119,11188,1064,583,3,87,0,4148,46,,01/01/2014,12/31/2014,69.08,,2014/2015,96.00,,96.00,,01/01/2014,12/31/2014
Gadsden Surgery Center LP,01C0001011,1962467951,Gadsden,AL,35901,2014,0.000,,0.000,,0.000,,0.000,,997.84,,01/01/2014,12/31/2014,Yes,,4888,941,681,937,49,0,0,1997,283,,01/01/2014,12/31/2014,76.84,,2014/2015,24.93,,71.17,,01/01/2014,12/31/2014
Surgery Center of Decatur LP,01C0001043,1962513788,Decatur,AL,35601,2014,0.000,,0.000,,0.000,,0.933,,1000.0,,01/01/2014,12/31/2014,Yes,,5419,3500,630,637,43,65,0,510,34,,01/01/2014,12/31/2014,84.21,,2014/2015,53.33,,100.0,,01/01/2014,12/31/2014
Shoals Outpatient Surgery,01C0001022,1972568830,Florence,AL,35630,2014,0.000,,0.000,,0.000,,0.662,,998.02,,01/01/2014,12/31/2014,Yes,,6857,615,2435,1641,5,0,0,2048,113,,01/01/2014,12/31/2014,64.13,,2014/2015,47.06,,53.13,,01/01/2014,12/31/2014
"St. Vincent's Outpatient Surgery Services, LLC",01C0001055,1972805299,Birmingham,AL,35202,2014,4.938,,0.000,,0.000,,0.000,,997.61,,01/01/2014,12/31/2014,Yes,,2164,22,538,271,64,4,0,428,837,,01/01/2014,12/31/2014,38.79,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Physicians Day Surgery Center,04C0001010,1023057916,Pine Bluff,AR,71603,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,2094,0,2082,0,12,0,0,0,0,,01/01/2014,12/31/2014,75.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Lowery Surgery Center,04C0001009,1043208283,Searcy,AR,72143,2014,2.994,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,630,0,622,0,8,0,0,0,0,,01/01/2014,12/31/2014,91.67,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Magnolia Surgery Center, LLC",04C0001087,1043565542,Magnolia,AR,71753,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1018,0,1018,0,0,0,0,0,0,,01/01/2014,12/31/2014,0.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Baker Ambulatory Surgery Center,04C0001047,1053301473,Conway,AR,72032,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1332,0,1332,0,0,0,0,0,0,,01/01/2014,12/31/2014,58.82,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Arkansas Center for Surgical Excellence,04C0001086,1053685677,Hot Springs,AR,71913,2014,149.80,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,357,0,293,49,1,0,0,14,0,,01/01/2014,12/31/2014,61.90,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Harrison Surgery Center, LLC",04C0001061,1063415891,Harrison,AR,72601,2014,0.000,,0.000,,0.000,,0.000,,0.00,,01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
"Endoscopy Center of Arkansas, LLC",04C0001060,1063470730,Little Rock,AR,72207,2014,0.000,,0.000,,0.000,,0.511,,,N/A (5),01/01/2014,12/31/2014,Yes,,7253,7253,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,100.0,,2014/2015,7.14,,32.26,,01/01/2014,12/31/2014
Surgery By Vold Vision,04C0001084,1073888103,Fayetteville,AR,72704,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,Yes,,1240,0,1240,0,0,0,0,0,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Arkansas Otolaryngology Center, P.A.",04C0001002,1093795031,Little Rock,AR,72205,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,0,0,0,0,0,0,0,0,0,N/A (5),01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Orthoarkansas Surgery Center LLC,04C0001045,1093799405,Little Rock,AR,72205,2014,0.000,,0.481,,0.000,,0.961,,961.11,,01/01/2014,12/31/2014,Yes,,6765,0,0,2628,0,0,0,4137,0,,01/01/2014,12/31/2014,88.57,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Taylor Surgery Center, LLC",04C0001051,1093907339,Fayetteville,AR,72703,2014,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (1),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Physicians Surgery Center LLC,04C0001058,1114906393,Blytheville,AR,72315,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,805,0,805,0,0,0,0,0,0,,01/01/2014,12/31/2014,0.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Doctors Surgery Center, PA",04C0001020,1114951365,West Memphis,AR,72301,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,851,0,851,0,0,0,0,0,0,,01/01/2014,12/31/2014,81.25,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Spring Creek Surgery Center LLC,04C0001054,1134177256,Hot Springs,AR,71901,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1036,0,0,0,350,0,0,686,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Mountain Home Surgery Center,04C0001017,1205978780,Mountain Home,AR,72653,2014,0.000,,0.000,,0.000,,0.000,,991.07,,01/01/2014,12/31/2014,Yes,,1623,0,1131,492,0,0,0,0,0,,01/01/2014,12/31/2014,59.09,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Cooper Clinic PA,04C0001028,1215024575,Ft. Smith,AR,72913,2014,0.883,,0.000,,0.000,,0.000,,266.67,,01/01/2014,12/31/2014,Yes,,8285,7955,330,0,0,0,0,0,0,,01/01/2014,12/31/2014,80.00,,2014/2015,54.17,,81.25,,01/01/2014,12/31/2014
Gastro-Intestinal Center Inc,04C0001013,1215919329,Little Rock,AR,72205,2014,0.802,,0.802,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,6541,6541,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,93.62,,2014/2015,84.39,,95.23,,01/01/2014,12/31/2014
Arkansas Surgery Center,04C0001008,1215994280,Batesville,AR,72501,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,879,0,879,0,0,0,0,0,0,,01/01/2014,12/31/2014,0.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Tri State Advanced Surgery Center, LLC.",04C0001085,1225398480,Marion,AR,72364,2014,0.000,,0.000,,0.000,,6.098,,985.71,,01/01/2014,12/31/2014,Yes,,1485,0,0,769,0,0,0,716,0,,01/01/2014,12/31/2014,77.78,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Gastroenterology & Surgery Center of Arkansas, II, LLC.",04C0001014,1235376104,Little Rock,AR,72205,2014,0.000,,0.000,,0.000,,1.693,,,N/A (5),01/01/2014,12/31/2014,Yes,,8694,8694,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,87.50,,2014/2015,6.67,,6.87,,01/01/2014,12/31/2014
"The Surgical Pavilion, LLC",04C0001043,1245297829,Little Rock,AR,72205,2014,0.000,,0.000,,0.000,,0.725,,998.55,,01/01/2014,12/31/2014,Yes,,5537,0,423,102,946,0,4066,0,0,,01/01/2014,12/31/2014,58.23,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"North River Surgery Center, LLC",04C0001035,1265404669,Sherwood,AR,72120,2014,0.000,,0.000,,0.000,,0.803,,,N/A (1),01/01/2014,12/31/2014,Yes,,2822,1724,1020,62,0,0,16,0,0,,01/01/2014,12/31/2014,88.89,,2014/2015,33.33,,82.54,,01/01/2014,12/31/2014
"Conway Endoscopy Center, Inc.",04C0001049,1265439632,Conway,AR,72034,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1972,1972,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,75.00,,2014/2015,78.13,,96.61,,01/01/2014,12/31/2014
"Pine Bluff Endoscopy Center, LLC",04C0001066,1275541427,Pine Bluff,AR,71603,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Doctor's Surgery Center,04C0001030,1275574154,Texarkana,AR,71854,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,694,0,694,0,0,0,0,0,0,,01/01/2014,12/31/2014,,N/A (5),2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Physicians Surgery Center, LLC",04C0001058,1295851137,Blytheville,AR,72315,2014,,,,,,,,,,,,,Yes,,805,0,805,0,0,0,0,0,0,,01/01/2014,12/31/2014,0.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Asec,04C0001074,1306017140,Little Rock,AR,72204,2014,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (5),01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,11.11,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Advanced Ambulatory Surgery Center, LLC",04C0001080,1326228370,Fayetteville,AR,72703,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Mcdonald Eye Associates Surgery and Lasik Center,04C0001068,1386737021,Fayetteville,AR,72703,2014,0.857,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,2556,0,1912,644,0,0,0,0,0,,01/01/2014,12/31/2014,80.95,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Endoscopy Center of Little Rock,LLC",04C0001056,1396727418,Little Rock,AR,72212,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,4357,4357,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,95.35,,2014/2015,71.37,,85.55,,01/01/2014,12/31/2014
Arkansas Specialty Orthopaedic Center,04C0001040,1437110293,Little Rock,AR,72205,2014,0.000,,0.000,,0.000,,0.000,,996.06,,01/01/2014,12/31/2014,Yes,,6965,0,0,6965,0,0,0,0,0,,01/01/2014,12/31/2014,90.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Conway Outpatient Surgery Center,04C0001034,1447212204,Conway,AR,72032,2014,0.000,,0.000,,0.000,,1.953,,,N/A (1),01/01/2014,12/31/2014,Yes,,1394,1394,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,92.31,,2014/2015,90.48,,100.0,,01/01/2014,12/31/2014
"Jonesboro Surgery Center, LLC",04C0001048,1457379364,Jonesboro,AR,72401,2014,1.946,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,2238,0,1410,665,163,0,0,0,0,,01/01/2014,12/31/2014,78.26,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Fair Park Surgery Center,04C0001072,1487776365,Little Rock,AR,72205,2014,0.000,,0.000,,0.000,,0.209,,,N/A (1),01/01/2014,12/31/2014,Yes,,7544,0,7544,0,0,0,0,0,0,,01/01/2014,12/31/2014,47.37,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
