"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"NJ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.619","","01/01/2015","06/30/2015"
"NM","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.645","","01/01/2015","06/30/2015"
"NV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.512","","01/01/2015","06/30/2015"
"NY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.608","","01/01/2015","06/30/2015"
"OH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.523","","01/01/2015","06/30/2015"
"OK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.525","","01/01/2015","06/30/2015"
"OR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.447","","01/01/2015","06/30/2015"
"PA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.550","","01/01/2015","06/30/2015"
"PR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.355","","01/01/2015","06/30/2015"
"RI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.591","","01/01/2015","06/30/2015"
"SC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.626","","01/01/2015","06/30/2015"
"SD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.347","","01/01/2015","06/30/2015"
"TN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.460","","01/01/2015","06/30/2015"
"TX","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.548","","01/01/2015","06/30/2015"
"UT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.342","","01/01/2015","06/30/2015"
"VA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.547","","01/01/2015","06/30/2015"
"VI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.582","","01/01/2015","06/30/2015"
"VT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.440","","01/01/2015","06/30/2015"
"WA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.506","","01/01/2015","06/30/2015"
"WI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.386","","01/01/2015","06/30/2015"
"WV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.423","","01/01/2015","06/30/2015"
"WY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.189","","01/01/2015","06/30/2015"
"AK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.953","","01/01/2015","06/30/2015"
"AL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.904","","01/01/2015","06/30/2015"
"AR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.776","","01/01/2015","06/30/2015"
"AS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","06/30/2015"
"AZ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.611","","01/01/2015","06/30/2015"
"CA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.560","","01/01/2015","06/30/2015"
"CO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.623","","01/01/2015","06/30/2015"
"CT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.850","","01/01/2015","06/30/2015"
"DC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.929","","01/01/2015","06/30/2015"
"DE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.596","","01/01/2015","06/30/2015"
"FL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.638","","01/01/2015","06/30/2015"
"GA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.692","","01/01/2015","06/30/2015"
"GU","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","06/30/2015"
"HI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.296","","01/01/2015","06/30/2015"
"IA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.662","","01/01/2015","06/30/2015"
"ID","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.490","","01/01/2015","06/30/2015"
"IL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.540","","01/01/2015","06/30/2015"
"IN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.664","","01/01/2015","06/30/2015"
"KS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.580","","01/01/2015","06/30/2015"
"KY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.762","","01/01/2015","06/30/2015"
"LA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.903","","01/01/2015","06/30/2015"
"MA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.485","","01/01/2015","06/30/2015"
"MD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.670","","01/01/2015","06/30/2015"
"ME","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.769","","01/01/2015","06/30/2015"
"MI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.570","","01/01/2015","06/30/2015"
"MN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.565","","01/01/2015","06/30/2015"
"MO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.622","","01/01/2015","06/30/2015"
"MP","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","06/30/2015"
"MS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.825","","01/01/2015","06/30/2015"
"MT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.691","","01/01/2015","06/30/2015"
"NC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.636","","01/01/2015","06/30/2015"
"ND","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.797","","01/01/2015","06/30/2015"
"NE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.833","","01/01/2015","06/30/2015"
"NH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.013","","01/01/2015","06/30/2015"
"NJ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.696","","01/01/2015","06/30/2015"
"NM","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.834","","01/01/2015","06/30/2015"
"NV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.613","","01/01/2015","06/30/2015"
"NY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.654","","01/01/2015","06/30/2015"
"OH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.582","","01/01/2015","06/30/2015"
"OK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.614","","01/01/2015","06/30/2015"
"OR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.568","","01/01/2015","06/30/2015"
"PA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.600","","01/01/2015","06/30/2015"
"PR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.550","","01/01/2015","06/30/2015"
"RI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.825","","01/01/2015","06/30/2015"
"SC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.725","","01/01/2015","06/30/2015"
"SD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.568","","01/01/2015","06/30/2015"
"TN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.521","","01/01/2015","06/30/2015"
"TX","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.588","","01/01/2015","06/30/2015"
"UT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.472","","01/01/2015","06/30/2015"
"VA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.624","","01/01/2015","06/30/2015"
"VI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","4.306","","01/01/2015","06/30/2015"
"VT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.785","","01/01/2015","06/30/2015"
"WA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.591","","01/01/2015","06/30/2015"
"WI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.466","","01/01/2015","06/30/2015"
"WV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.536","","01/01/2015","06/30/2015"
"WY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.624","","01/01/2015","06/30/2015"
"AK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.304","","01/01/2015","06/30/2015"
"AL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.709","","01/01/2015","06/30/2015"
"AR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.551","","01/01/2015","06/30/2015"
"AS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","06/30/2015"
"AZ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.452","","01/01/2015","06/30/2015"
"CA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.492","","01/01/2015","06/30/2015"
"CO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.420","","01/01/2015","06/30/2015"
"CT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.608","","01/01/2015","06/30/2015"
"DC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.599","","01/01/2015","06/30/2015"
"DE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.229","","01/01/2015","06/30/2015"
"FL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.555","","01/01/2015","06/30/2015"
"GA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.560","","01/01/2015","06/30/2015"
"GU","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","06/30/2015"
"HI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.090","","01/01/2015","06/30/2015"
"IA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.417","","01/01/2015","06/30/2015"
"ID","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.193","","01/01/2015","06/30/2015"
"IL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.433","","01/01/2015","06/30/2015"
"IN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.513","","01/01/2015","06/30/2015"
"KS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.356","","01/01/2015","06/30/2015"
"KY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.569","","01/01/2015","06/30/2015"
"LA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.701","","01/01/2015","06/30/2015"
"MA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.357","","01/01/2015","06/30/2015"
"MD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.497","","01/01/2015","06/30/2015"
"ME","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.360","","01/01/2015","06/30/2015"
"MI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.453","","01/01/2015","06/30/2015"
"MN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.384","","01/01/2015","06/30/2015"
"MO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.476","","01/01/2015","06/30/2015"
"MP","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","06/30/2015"
"MS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.584","","01/01/2015","06/30/2015"
"MT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.220","","01/01/2015","06/30/2015"
"NC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.511","","01/01/2015","06/30/2015"
"ND","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.379","","01/01/2015","06/30/2015"
"NE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.528","","01/01/2015","06/30/2015"
"NH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.540","","01/01/2015","06/30/2015"
"NJ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.549","","01/01/2015","06/30/2015"
"NM","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.491","","01/01/2015","06/30/2015"
"NV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.423","","01/01/2015","06/30/2015"
"NY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.565","","01/01/2015","06/30/2015"
"OH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.469","","01/01/2015","06/30/2015"
"OK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.446","","01/01/2015","06/30/2015"
"OR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.346","","01/01/2015","06/30/2015"
"PA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.504","","01/01/2015","06/30/2015"
"PR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.217","","01/01/2015","06/30/2015"
"RI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.411","","01/01/2015","06/30/2015"
"SC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.538","","01/01/2015","06/30/2015"
"SD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.198","","01/01/2015","06/30/2015"
"TN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.404","","01/01/2015","06/30/2015"
"TX","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.511","","01/01/2015","06/30/2015"
"UT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.240","","01/01/2015","06/30/2015"
"VA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.478","","01/01/2015","06/30/2015"
"VI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.402","","01/01/2015","06/30/2015"
"VT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.224","","01/01/2015","06/30/2015"
"WA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.430","","01/01/2015","06/30/2015"
"WI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.318","","01/01/2015","06/30/2015"
"WV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.329","","01/01/2015","06/30/2015"
"WY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.032","","01/01/2015","06/30/2015"
"AK","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.307","","07/01/2014","06/30/2015"
"AL","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.708","","07/01/2014","06/30/2015"
"AR","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.585","","07/01/2014","06/30/2015"
"AS","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"AZ","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.487","","07/01/2014","06/30/2015"
"CA","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.488","","07/01/2014","06/30/2015"
"CO","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.431","","07/01/2014","06/30/2015"
"CT","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.536","","07/01/2014","06/30/2015"
"DC","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.522","","07/01/2014","06/30/2015"
"DE","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.251","","07/01/2014","06/30/2015"
"FL","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.530","","07/01/2014","06/30/2015"
"GA","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.589","","07/01/2014","06/30/2015"
"GU","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"HI","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.176","","07/01/2014","06/30/2015"
"IA","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.550","","07/01/2014","06/30/2015"
"ID","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.350","","07/01/2014","06/30/2015"
"IL","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.467","","07/01/2014","06/30/2015"
"IN","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.559","","07/01/2014","06/30/2015"
"KS","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.476","","07/01/2014","06/30/2015"
"KY","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.553","","07/01/2014","06/30/2015"
"LA","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.672","","07/01/2014","06/30/2015"
"MA","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.421","","07/01/2014","06/30/2015"
"MD","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.499","","07/01/2014","06/30/2015"
"ME","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.702","","07/01/2014","06/30/2015"
"MI","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.423","","07/01/2014","06/30/2015"
"MN","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.411","","07/01/2014","06/30/2015"
"MO","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.406","","07/01/2014","06/30/2015"
"MP","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"MS","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.629","","07/01/2014","06/30/2015"
"MT","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.673","","07/01/2014","06/30/2015"
"NC","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.431","","07/01/2014","06/30/2015"
"ND","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.400","","07/01/2014","06/30/2015"
"NE","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.576","","07/01/2014","06/30/2015"
"NH","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.691","","07/01/2014","06/30/2015"
"NJ","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.551","","07/01/2014","06/30/2015"
"NM","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.660","","07/01/2014","06/30/2015"
"NV","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.470","","07/01/2014","06/30/2015"
"NY","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.426","","07/01/2014","06/30/2015"
"OH","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.412","","07/01/2014","06/30/2015"
"OK","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.455","","07/01/2014","06/30/2015"
"OR","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.362","","07/01/2014","06/30/2015"
"PA","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.487","","07/01/2014","06/30/2015"
"PR","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.356","","07/01/2014","06/30/2015"
"RI","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.528","","07/01/2014","06/30/2015"
"SC","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.617","","07/01/2014","06/30/2015"
"SD","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.351","","07/01/2014","06/30/2015"
"TN","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.446","","07/01/2014","06/30/2015"
"TX","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.477","","07/01/2014","06/30/2015"
"UT","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.320","","07/01/2014","06/30/2015"
"VA","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.408","","07/01/2014","06/30/2015"
"VI","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","2.664","","07/01/2014","06/30/2015"
"VT","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.251","","07/01/2014","06/30/2015"
"WA","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.403","","07/01/2014","06/30/2015"
"WI","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.376","","07/01/2014","06/30/2015"
"WV","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.413","","07/01/2014","06/30/2015"
"WY","Central line-associated bloodstream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.498","","07/01/2014","06/30/2015"
"AK","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.639","","07/01/2014","06/30/2015"
"AL","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.792","","07/01/2014","06/30/2015"
"AR","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.686","","07/01/2014","06/30/2015"
"AS","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"AZ","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.561","","07/01/2014","06/30/2015"
"CA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.519","","07/01/2014","06/30/2015"
"CO","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.520","","07/01/2014","06/30/2015"
"CT","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.645","","07/01/2014","06/30/2015"
